"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude"
"Belgium",2016,"Austria",5,"Jury","Low","AUT",47.5162,14.5501
"Belgium",2016,"Iceland",3,"Jury","Low","ISL",64.9631,-19.0208
"Belgium",2016,"Czech Republic",2,"Jury","Low","CZE",49.8175,15.473
"Belgium",2016,"Ireland",12,"Jury","High","IRL",53.4129,-8.2439
"Belgium",2016,"Georgia",10,"Jury","High","GEO",42.3154,43.3569
"Belgium",2016,"Switzerland",10,"Jury","High","CHE",46.8182,8.2275
"Belgium",2016,"Denmark",8,"Jury","High","DNK",56.2639,9.5018
"Belgium",2016,"Armenia",4,"Jury","Low","ARM",40.0691,45.0382
"Belgium",2016,"Bulgaria",10,"Jury","High","BGR",42.7339,25.4858
"Belgium",2016,"Netherlands",4,"Jury","Low","NLD",52.1326,5.2913
"Belgium",2016,"Israel",6,"Jury","Low","ISR",31.0461,34.8516
"Belgium",2016,"Belarus",4,"Jury","Low","BLR",53.9006,27.5766
"Belgium",2016,"Germany",5,"Jury","Low","DEU",51.1657,10.4515
"Belgium",2016,"Norway",5,"Jury","Low","NOR",60.472,8.4689
"Belgium",2016,"Australia",12,"Jury","High","AUS",-25.2744,133.7751
"Belgium",2016,"Lithuania",5,"Jury","Low","LTU",55.1694,23.8813
"Belgium",2016,"Macedonia",4,"Jury","Low","MKD",41.6086,21.7453
"Belgium",2016,"Ukraine",10,"Jury","High","UKR",48.3794,31.1656
"Belgium",2016,"Slovenia",8,"Jury","High","SVN",46.1512,14.9955
"Belgium",2016,"Montenegro",3,"Jury","Low","MNE",42.7087,19.3744
"Czech Republic",2016,"Austria",4,"Jury","Low","AUT",47.5162,14.5501
"Czech Republic",2016,"Iceland",5,"Jury","Low","ISL",64.9631,-19.0208
"Czech Republic",2016,"Ireland",2,"Jury","Low","IRL",53.4129,-8.2439
"Czech Republic",2016,"Bosnia and Herzegovina",6,"Jury","Low","BIH",43.9159,17.6791
"Czech Republic",2016,"Finland",3,"Jury","Low","FIN",61.9241,25.7482
"Czech Republic",2016,"Armenia",1,"Jury","Low","ARM",40.0691,45.0382
"Czech Republic",2016,"Belgium",1,"Jury","Low","BEL",50.5039,4.4699
"Czech Republic",2016,"Croatia",10,"Jury","High","HRV",45.1,15.2
"Czech Republic",2016,"Poland",4,"Jury","Low","POL",51.9194,19.1451
"Czech Republic",2016,"Hungary",2,"Jury","Low","HUN",47.1625,19.5033
"Czech Republic",2016,"Sweden",3,"Jury","Low","SWE",60.1282,18.6435
"Netherlands",2016,"Iceland",12,"Jury","High","ISL",64.9631,-19.0208
"Netherlands",2016,"San Marino",4,"Jury","Low","SMR",43.9334,12.4578
"Netherlands",2016,"Czech Republic",7,"Jury","Low","CZE",49.8175,15.473
"Netherlands",2016,"Ireland",8,"Jury","High","IRL",53.4129,-8.2439
"Netherlands",2016,"Spain",3,"Jury","Low","ESP",40.4637,-3.7492
"Netherlands",2016,"Finland",10,"Jury","High","FIN",61.9241,25.7482
"Netherlands",2016,"Switzerland",5,"Jury","Low","CHE",46.8182,8.2275
"Netherlands",2016,"Denmark",7,"Jury","Low","DNK",56.2639,9.5018
"Netherlands",2016,"France",7,"Jury","Low","FRA",46.6034,2.2137
"Netherlands",2016,"Bulgaria",2,"Jury","Low","BGR",42.7339,25.4858
"Netherlands",2016,"Latvia",3,"Jury","Low","LVA",56.8796,24.6032
"Netherlands",2016,"Germany",4,"Jury","Low","DEU",51.1657,10.4515
"Netherlands",2016,"Norway",6,"Jury","Low","NOR",60.472,8.4689
"Netherlands",2016,"Australia",3,"Jury","Low","AUS",-25.2744,133.7751
"Netherlands",2016,"Belgium",4,"Jury","Low","BEL",50.5039,4.4699
"Netherlands",2016,"Serbia",5,"Jury","Low","SRB",44.0165,20.907
"Netherlands",2016,"Macedonia",2,"Jury","Low","MKD",41.6086,21.7453
"Netherlands",2016,"Estonia",6,"Jury","Low","EST",58.5953,25.0136
"Netherlands",2016,"Italy",4,"Jury","Low","ITA",41.8719,12.5674
"Netherlands",2016,"Slovenia",1,"Jury","Low","SVN",46.1512,14.9955
"Netherlands",2016,"Hungary",6,"Jury","Low","HUN",47.1625,19.5033
"Netherlands",2016,"Sweden",5,"Jury","Low","SWE",60.1282,18.6435
"Azerbaijan",2016,"Bosnia and Herzegovina",1,"Jury","Low","BIH",43.9159,17.6791
"Azerbaijan",2016,"Spain",2,"Jury","Low","ESP",40.4637,-3.7492
"Azerbaijan",2016,"Cyprus",2,"Jury","Low","CYP",35.1264,33.4299
"Azerbaijan",2016,"Netherlands",1,"Jury","Low","NLD",52.1326,5.2913
"Azerbaijan",2016,"Belarus",2,"Jury","Low","BLR",53.9006,27.5766
"Azerbaijan",2016,"Russia",10,"Jury","High","RUS",61.524,105.3188
"Azerbaijan",2016,"Greece",1,"Jury","Low","GRC",39.0742,21.8243
"Azerbaijan",2016,"Macedonia",1,"Jury","Low","MKD",41.6086,21.7453
"Azerbaijan",2016,"Ukraine",7,"Jury","Low","UKR",48.3794,31.1656
"Azerbaijan",2016,"Hungary",7,"Jury","Low","HUN",47.1625,19.5033
"Azerbaijan",2016,"Sweden",10,"Jury","High","SWE",60.1282,18.6435
"Hungary",2016,"Azerbaijan",4,"Jury","Low","AZE",40.1431,47.5769
"Hungary",2016,"San Marino",2,"Jury","Low","SMR",43.9334,12.4578
"Hungary",2016,"Czech Republic",10,"Jury","High","CZE",49.8175,15.473
"Hungary",2016,"Spain",10,"Jury","High","ESP",40.4637,-3.7492
"Hungary",2016,"Cyprus",4,"Jury","Low","CYP",35.1264,33.4299
"Hungary",2016,"Russia",1,"Jury","Low","RUS",61.524,105.3188
"Hungary",2016,"Croatia",5,"Jury","Low","HRV",45.1,15.2
