"year","country","final_televote_points","final_jury_points","final_place","ranking_televote","ranking_jury","is_winner"
2023,"Norway",216,52,5,3,17,"No"
2023,"Serbia",16,14,24,23,23,"No"
2023,"Portugal",16,43,23,22,18,"No"
2023,"Croatia",112,11,13,7,25,"No"
2023,"Switzerland",31,61,20,18,14,"No"
2023,"Israel",185,177,3,5,2,"No"
2023,"Moldova",76,20,18,9,20,"No"
2023,"Sweden",243,340,1,2,1,"Si"
2023,"Czech Republic",35,94,10,17,10,"No"
2023,"Finland",376,150,2,1,4,"No"
2023,"Armenia",53,69,14,13,12,"No"
2023,"Estonia",22,146,8,19,5,"No"
2023,"Belgium",55,127,7,12,7,"No"
2023,"Cyprus",58,68,12,11,13,"No"
2023,"Poland",81,12,19,8,24,"No"
2023,"Slovenia",45,33,21,16,19,"No"
2023,"Austria",16,104,15,21,8,"No"
2023,"Albania",59,17,22,10,21,"No"
2023,"Lithuania",46,81,11,15,11,"No"
2023,"Australia",21,130,9,20,6,"No"
2023,"France",50,54,16,14,16,"No"
2023,"Spain",5,95,17,26,9,"No"
2023,"Italy",174,176,4,6,3,"No"
2023,"Ukraine",189,54,6,4,15,"No"
2023,"Germany",15,3,26,24,26,"No"
2023,"United Kingdom",9,15,25,25,22,"No"
2022,"Lithuania",93,35,14,11,18,"No"
2022,"Switzerland",0,78,17,25,12,"No"
2022,"Ukraine",439,192,1,1,4,"Si"
2022,"Netherlands",42,129,11,14,8,"No"
2022,"Moldova",239,14,7,2,20,"No"
2022,"Portugal",36,171,9,15,5,"No"
2022,"Iceland",10,10,23,18,23,"No"
2022,"Greece",57,158,8,12,7,"No"
2022,"Norway",146,36,10,7,17,"No"
2022,"Armenia",21,40,20,17,16,"No"
2022,"Finland",26,12,21,16,22,"No"
2022,"Serbia",225,87,5,4,11,"No"
2022,"Azerbaijan",3,103,16,23,10,"No"
2022,"Australia",2,123,15,24,9,"No"
2022,"Estonia",98,43,13,10,15,"No"
2022,"Romania",53,12,18,13,21,"No"
2022,"Poland",105,46,12,9,14,"No"
2022,"Belgium",5,59,19,21,13,"No"
2022,"Sweden",180,258,4,6,2,"No"
2022,"Czech Republic",5,33,22,22,19,"No"
2022,"Italy",110,158,6,8,6,"No"
2022,"Spain",228,231,3,3,3,"No"
2022,"Germany",6,0,25,20,25,"No"
2022,"United Kingdom",183,283,2,5,1,"No"
2022,"France",8,9,24,19,24,"No"
2021,"Lithuania",165,55,8,6,13,"No"
2021,"Russia",100,104,9,7,7,"No"
2021,"Sweden",63,46,14,10,16,"No"
2021,"Cyprus",44,50,16,14,15,"No"
2021,"Norway",60,15,18,12,20,"No"
2021,"Belgium",3,71,19,20,12,"No"
2021,"Israel",20,73,17,19,11,"No"
2021,"Azerbaijan",33,32,20,16,17,"No"
2021,"Ukraine",267,97,5,2,8,"No"
2021,"Malta",47,208,7,13,3,"No"
2021,"Greece",79,91,10,9,9,"No"
2021,"Moldova",62,53,13,11,14,"No"
2021,"Serbia",82,20,15,8,19,"No"
2021,"Albania",35,22,21,15,18,"No"
2021,"Portugal",27,126,12,18,6,"No"
2021,"Bulgaria",30,140,11,17,5,"No"
2021,"Finland",218,83,6,4,10,"No"
2021,"Switzerland",165,267,3,5,1,"No"
2021,"Netherlands",0,11,11,21,21,"No"
2021,"Spain",0,6,24,22,22,"No"
2021,"United Kingdom",0,0,26,24,24,"No"
2021,"Germany",0,3,25,23,23,"No"
2021,"France",251,248,2,3,2,"No"
2021,"Italy",318,206,1,1,4,"Si"
2019,"Cyprus",32,77,13,20,11,"No"
2019,"Slovenia",59,46,15,11,16,"No"
2019,"Czech Republic",7,150,11,24,8,"No"
2019,"Belarus",13,18,24,23,22,"No"
2019,"Serbia",54,35,18,13,19,"No"
2019,"Australia",131,153,9,7,6,"No"
2019,"Iceland",186,46,10,6,15,"No"
2019,"Estonia",48,28,20,16,20,"No"
2019,"Greece",24,50,21,21,14,"No"
2019,"San Marino",65,12,19,10,23,"No"
2019,"Switzerland",212,152,4,5,7,"No"
2019,"Denmark",51,69,12,15,12,"No"
2019,"Sweden",93,241,5,9,2,"No"
2019,"Malta",20,87,14,22,10,"No"
2019,"Russia",244,126,3,4,9,"No"
