"Source_country","Contestant","Total_points"
"Albania","Armenia",23
"Albania","Australia",34
"Albania","Austria",2
"Albania","Azerbaijan",18
"Albania","Belgium",12
"Albania","Bulgaria",51
"Albania","Croatia",15
"Albania","Cyprus",47
"Albania","Czech Republic",1
"Albania","Estonia",17
"Albania","Finland",14
"Albania","France",50
"Albania","Germany",14
"Albania","Greece",36
"Albania","Hungary",8
"Albania","Ireland",7
"Albania","Israel",20
"Albania","Italy",127
"Albania","Lithuania",4
"Albania","Malta",10
"Albania","Moldova",10
"Albania","Netherlands",19
"Albania","North Macedonia",18
"Albania","Norway",9
"Albania","Poland",6
"Albania","Portugal",15
"Albania","Romania",7
"Albania","Russia",27
"Albania","San Marino",15
"Albania","Serbia",7
"Albania","Slovenia",2
"Albania","Spain",19
"Albania","Sweden",46
"Albania","Switzerland",45
"Albania","Ukraine",27
"Albania","United Kingdom",30
"Armenia","Australia",8
"Armenia","Austria",14
"Armenia","Belarus",1
"Armenia","Belgium",9
"Armenia","Bulgaria",14
"Armenia","Cyprus",63
"Armenia","Czech Republic",18
"Armenia","Estonia",17
"Armenia","Finland",14
"Armenia","France",67
"Armenia","Georgia",18
"Armenia","Germany",5
"Armenia","Greece",16
"Armenia","Hungary",3
"Armenia","Iceland",3
"Armenia","Israel",42
"Armenia","Italy",37
"Armenia","Lithuania",2
"Armenia","Malta",23
"Armenia","Moldova",31
"Armenia","Netherlands",23
"Armenia","North Macedonia",10
"Armenia","Norway",25
"Armenia","Poland",7
"Armenia","Portugal",34
"Armenia","Romania",2
"Armenia","Russia",31
"Armenia","Serbia",6
"Armenia","Spain",29
"Armenia","Sweden",66
"Armenia","Switzerland",17
"Armenia","Ukraine",34
"Armenia","United Kingdom",7
"Australia","Armenia",1
"Australia","Austria",24
"Australia","Azerbaijan",5
"Australia","Belgium",48
"Australia","Bulgaria",33
"Australia","Croatia",6
"Australia","Cyprus",22
"Australia","Czech Republic",15
"Australia","Denmark",23
"Australia","Estonia",17
"Australia","Finland",24
"Australia","France",39
"Australia","Germany",15
"Australia","Iceland",38
"Australia","Ireland",12
"Australia","Israel",33
"Australia","Italy",25
"Australia","Lithuania",29
"Australia","Malta",30
"Australia","Moldova",33
"Australia","Netherlands",22
"Australia","North Macedonia",7
"Australia","Norway",30
"Australia","Poland",5
"Australia","Portugal",22
"Australia","Romania",10
"Australia","Russia",10
"Australia","Serbia",19
"Australia","Slovenia",1
"Australia","Spain",36
"Australia","Sweden",76
"Australia","Switzerland",22
"Australia","Ukraine",44
"Australia","United Kingdom",36
"Austria","Albania",12
"Austria","Armenia",9
"Austria","Australia",18
"Austria","Azerbaijan",5
"Austria","Belarus",7
"Austria","Belgium",18
"Austria","Bulgaria",33
"Austria","Croatia",20
"Austria","Cyprus",3
"Austria","Czech Republic",27
"Austria","Denmark",5
"Austria","Estonia",2
"Austria","Finland",25
"Austria","France",27
"Austria","Germany",28
"Austria","Greece",4
"Austria","Hungary",13
"Austria","Iceland",28
"Austria","Ireland",8
"Austria","Israel",20
"Austria","Italy",79
"Austria","Lithuania",11
"Austria","Malta",16
"Austria","Moldova",10
"Austria","Netherlands",45
"Austria","North Macedonia",12
"Austria","Norway",30
"Austria","Poland",18
"Austria","Portugal",37
"Austria","Romania",10
"Austria","Russia",16
"Austria","Serbia",40
"Austria","Slovenia",13
"Austria","Spain",3
"Austria","Sweden",61
"Austria","Switzerland",44
"Austria","Ukraine",34
"Austria","United Kingdom",21
"Azerbaijan","Albania",27
"Azerbaijan","Australia",18
"Azerbaijan","Belarus",18
"Azerbaijan","Belgium",7
"Azerbaijan","Bulgaria",37
"Azerbaijan","Croatia",1
"Azerbaijan","Cyprus",23
"Azerbaijan","Czech Republic",9
"Azerbaijan","Estonia",4
"Azerbaijan","Finland",16
"Azerbaijan","France",16
"Azerbaijan","Georgia",1
"Azerbaijan","Germany",5
"Azerbaijan","Greece",27
"Azerbaijan","Hungary",26
"Azerbaijan","Israel",63
"Azerbaijan","Italy",57
"Azerbaijan","Lithuania",5
"Azerbaijan","Malta",32
"Azerbaijan","Moldova",40
"Azerbaijan","Netherlands",11
"Azerbaijan","North Macedonia",11
"Azerbaijan","Norway",24
"Azerbaijan","Poland",14
"Azerbaijan","Portugal",25
"Azerbaijan","Romania",5
"Azerbaijan","Russia",66
"Azerbaijan","San Marino",13
"Azerbaijan","Serbia",16
"Azerbaijan","Slovenia",9
"Azerbaijan","Spain",25
"Azerbaijan","Sweden",42
"Azerbaijan","Switzerland",17
"Azerbaijan","Ukraine",82
"Azerbaijan","United Kingdom",20
"Belarus","Albania",7
"Belarus","Armenia",10
"Belarus","Australia",18
"Belarus","Austria",14
"Belarus","Azerbaijan",21
"Belarus","Belgium",10
"Belarus","Bulgaria",30
"Belarus","Cyprus",23
"Belarus","Czech Republic",11
"Belarus","Denmark",13
"Belarus","France",4
"Belarus","Greece",3
"Belarus","Hungary",13
"Belarus","Iceland",7
"Belarus","Israel",9
"Belarus","Italy",14
"Belarus","Latvia",5
"Belarus","Lithuania",15
"Belarus","Malta",17
"Belarus","Moldova",16
"Belarus","Netherlands",21
"Belarus","North Macedonia",10
"Belarus","Norway",37
"Belarus","Poland",8
"Belarus","Portugal",17
"Belarus","Romania",2
"Belarus","Russia",37
"Belarus","San Marino",1
"Belarus","Slovenia",9
"Belarus","Sweden",24
"Belarus","Switzerland",8
"Belarus","Ukraine",30
"Belgium","Albania",5
"Belgium","Armenia",13
"Belgium","Australia",35
"Belgium","Austria",38
"Belgium","Azerbaijan",7
"Belgium","Bulgaria",35
"Belgium","Cyprus",18
"Belgium","Czech Republic",19
"Belgium","Denmark",6
"Belgium","Finland",31
"Belgium","France",64
"Belgium","Georgia",7
"Belgium","Germany",7
"Belgium","Greece",3
"Belgium","Hungary",1
"Belgium","Iceland",21
"Belgium","Ireland",4
"Belgium","Israel",33
"Belgium","Italy",77
"Belgium","Lithuania",7
"Belgium","Malta",7
"Belgium","Moldova",15
"Belgium","Netherlands",74
"Belgium","Norway",23
"Belgium","Poland",29
"Belgium","Portugal",27
"Belgium","Romania",6
"Belgium","Russia",14
"Belgium","Serbia",6
"Belgium","Spain",29
"Belgium","Sweden",62
"Belgium","Switzerland",28
"Belgium","Ukraine",44
"Belgium","United Kingdom",17
"Bosnia and Herzegovina","Armenia",2
"Bosnia and Herzegovina","Australia",13
"Bosnia and Herzegovina","Austria",5
"Bosnia and Herzegovina","Azerbaijan",9
"Bosnia and Herzegovina","Bulgaria",5
"Bosnia and Herzegovina","Croatia",14
"Bosnia and Herzegovina","Czech Republic",6
"Bosnia and Herzegovina","France",11
"Bosnia and Herzegovina","Hungary",1
"Bosnia and Herzegovina","Russia",11
"Bosnia and Herzegovina","Serbia",20
"Bosnia and Herzegovina","Ukraine",19
"Bulgaria","Albania",7
"Bulgaria","Armenia",34
