Source_country,Contestant,2016,2017,2018,2019,2021,2022,2023,Total_points,Frequency
Albania,Armenia,2,7,0,0,0,4,10,23,4
Albania,Australia,24,4,0,3,0,0,3,34,4
Albania,Austria,0,0,2,0,0,0,0,2,1
Albania,Azerbaijan,0,2,0,11,2,3,0,18,4
Albania,Belgium,0,5,0,0,0,2,5,12,3
Albania,Bulgaria,12,20,14,0,5,0,0,51,4
Albania,Croatia,0,7,0,0,0,0,8,15,2
Albania,Cyprus,0,0,20,7,9,0,11,47,4
Albania,Czech Republic,0,0,1,0,0,0,0,1,1
Albania,Estonia,0,0,4,0,0,5,8,17,3
Albania,Finland,0,0,0,0,6,2,6,14,3
Albania,France,10,6,12,3,16,0,3,50,6
Albania,Germany,0,0,14,0,0,0,0,14,1
Albania,Greece,0,4,0,6,14,12,0,36,4
Albania,Hungary,2,6,0,0,0,0,0,8,2
Albania,Ireland,0,0,7,0,0,0,0,7,1
Albania,Israel,3,0,6,0,0,0,11,20,3
Albania,Italy,18,24,24,13,14,20,14,127,7
Albania,Lithuania,4,0,0,0,0,0,0,4,1
Albania,Malta,2,0,0,0,8,0,0,10,2
Albania,Moldova,0,0,2,0,7,1,0,10,3
Albania,Netherlands,0,0,0,7,0,12,0,19,2
Albania,North Macedonia,0,0,0,18,0,0,0,18,1
Albania,Norway,0,0,0,5,0,0,4,9,2
Albania,Poland,5,0,0,0,0,0,1,6,2
Albania,Portugal,0,14,0,0,0,1,0,15,2
Albania,Romania,0,7,0,0,0,0,0,7,1
Albania,Russia,14,0,0,13,0,0,0,27,2
Albania,San Marino,0,0,0,10,5,0,0,15,2
Albania,Serbia,0,0,3,0,1,3,0,7,3
Albania,Slovenia,0,0,0,0,0,0,2,2,1
Albania,Spain,6,0,0,0,0,12,1,19,3
Albania,Sweden,3,2,4,6,1,8,22,46,7
Albania,Switzerland,0,0,0,14,24,0,7,45,3
Albania,Ukraine,6,0,0,0,4,17,0,27,3
Albania,United Kingdom,5,8,3,0,0,14,0,30,4
Armenia,Australia,5,0,2,1,0,0,0,8,3
Armenia,Austria,4,1,7,0,0,0,2,14,4
Armenia,Belarus,0,0,0,1,0,0,0,1,1
Armenia,Belgium,4,5,0,0,0,0,0,9,2
Armenia,Bulgaria,7,7,0,0,0,0,0,14,2
Armenia,Cyprus,12,19,19,0,0,0,13,63,4
Armenia,Czech Republic,1,0,14,3,0,0,0,18,3
Armenia,Estonia,0,0,2,0,0,15,0,17,2
